#                r          N_{at}(r)               M(r)          N_{el}(r)          Volume(r)     Density{at}(r)
5.000000000000e-01 1.000000000000e+00 7.628570000000e+00 4.045000000000e+00 5.235987755983e-01 1.909859317103e+00
5.979899497487e-01 1.000000000000e+00 7.628570000000e+00 4.045000000000e+00 8.957158602674e-01 1.116425469681e+00
6.959798994975e-01 1.000000000000e+00 7.628570000000e+00 4.045000000000e+00 1.412143073826e+00 7.081435433386e-01
7.939698492462e-01 1.000000000000e+00 7.628570000000e+00 4.045000000000e+00 2.096527874369e+00 4.769791101877e-01
8.919597989950e-01 1.000000000000e+00 7.628570000000e+00 4.045000000000e+00 2.972517719991e+00 3.364151518003e-01
9.899497487437e-01 1.045000000000e+00 7.898795000000e+00 4.195000000000e+00 4.063760068789e+00 2.571510085022e-01
1.087939698492e+00 1.470000000000e+00 1.019745500000e+01 5.475000000000e+00 5.393902378857e+00 2.725299600827e-01
1.185929648241e+00 2.035000000000e+00 1.408781500000e+01 7.550000000000e+00 6.986592108291e+00 2.912721922874e-01
1.283919597990e+00 2.175000000000e+00 1.606845500000e+01 8.540000000000e+00 8.865476715186e+00 2.453336768991e-01
1.381909547739e+00 2.380000000000e+00 1.868041000000e+01 9.845000000000e+00 1.105420365764e+01 2.153027096037e-01
1.479899497487e+00 2.605000000000e+00 2.154252500000e+01 1.127500000000e+01 1.357642039374e+01 1.918767925897e-01
1.577889447236e+00 3.015000000000e+00 2.654685500000e+01 1.377500000000e+01 1.645577438159e+01 1.832183603206e-01
1.675879396985e+00 3.120000000000e+00 2.709281500000e+01 1.408000000000e+01 1.971591307928e+01 1.582478066044e-01
1.773869346734e+00 3.365000000000e+00 2.733977500000e+01 1.432500000000e+01 2.338048394491e+01 1.439234537629e-01
1.871859296482e+00 3.505000000000e+00 2.774621000000e+01 1.459000000000e+01 2.747313443657e+01 1.275791813305e-01
1.969849246231e+00 3.650000000000e+00 2.874771500000e+01 1.513000000000e+01 3.201751201236e+01 1.140001133939e-01
2.067839195980e+00 3.945000000000e+00 3.049509500000e+01 1.609000000000e+01 3.703726413037e+01 1.065143469051e-01
2.165829145729e+00 4.790000000000e+00 3.561270000000e+01 1.888000000000e+01 4.255603824870e+01 1.125574700353e-01
2.263819095477e+00 5.565000000000e+00 4.086947500000e+01 2.170000000000e+01 4.859748182545e+01 1.145121062031e-01
2.361809045226e+00 6.010000000000e+00 4.456241000000e+01 2.365000000000e+01 5.518524231870e+01 1.089059275176e-01
2.459798994975e+00 6.825000000000e+00 5.180955500000e+01 2.742000000000e+01 6.234296718656e+01 1.094750588238e-01
2.557788944724e+00 7.995000000000e+00 6.080448000000e+01 3.217500000000e+01 7.009430388712e+01 1.140606234263e-01
2.655778894472e+00 8.950000000000e+00 6.758708000000e+01 3.580000000000e+01 7.846289987848e+01 1.140666482358e-01
2.753768844221e+00 9.890000000000e+00 7.381960500000e+01 3.916500000000e+01 8.747240261872e+01 1.130642317339e-01
2.851758793970e+00 1.072500000000e+01 7.937676000000e+01 4.218000000000e+01 9.714645956595e+01 1.104003177050e-01
2.949748743719e+00 1.160000000000e+01 8.582846000000e+01 4.563000000000e+01 1.075087181783e+02 1.078982262700e-01
3.047738693467e+00 1.266000000000e+01 9.106702000000e+01 4.861000000000e+01 1.185828259137e+02 1.067608222561e-01
3.145728643216e+00 1.372000000000e+01 9.710475000000e+01 5.196000000000e+01 1.303924302305e+02 1.052208320356e-01
3.243718592965e+00 1.475000000000e+01 1.041320600000e+02 5.575000000000e+01 1.429611785866e+02 1.031748628951e-01
3.341708542714e+00 1.585000000000e+01 1.126756750000e+02 6.027000000000e+01 1.563127184402e+02 1.013992985226e-01
3.439698492462e+00 1.688500000000e+01 1.200492550000e+02 6.422000000000e+01 1.704706972494e+02 9.904928103450e-02
3.537688442211e+00 1.796500000000e+01 1.280191750000e+02 6.847000000000e+01 1.854587624722e+02 9.686789537753e-02
3.635678391960e+00 1.926000000000e+01 1.375250150000e+02 7.353500000000e+01 2.013005615667e+02 9.567782548693e-02
3.733668341709e+00 2.053500000000e+01 1.462554500000e+02 7.824500000000e+01 2.180197419911e+02 9.418871801453e-02
