#                r          N_{at}(r)               M(r)          N_{el}(r)          Volume(r)     Density{at}(r)
5.000000000000e-01 1.000000000000e+00 7.428350000000e+00 3.955000000000e+00 5.235987755983e-01 1.909859317103e+00
5.979899497487e-01 1.000000000000e+00 7.428350000000e+00 3.955000000000e+00 8.957158602674e-01 1.116425469681e+00
6.959798994975e-01 1.000000000000e+00 7.428350000000e+00 3.955000000000e+00 1.412143073826e+00 7.081435433386e-01
7.939698492462e-01 1.000000000000e+00 7.428350000000e+00 3.955000000000e+00 2.096527874369e+00 4.769791101877e-01
8.919597989950e-01 1.000000000000e+00 7.428350000000e+00 3.955000000000e+00 2.972517719991e+00 3.364151518003e-01
9.899497487437e-01 1.035000000000e+00 7.538585000000e+00 4.025000000000e+00 4.063760068789e+00 2.546902333012e-01
1.087939698492e+00 1.480000000000e+00 1.079752500000e+01 5.755000000000e+00 5.393902378857e+00 2.743839053894e-01
1.185929648241e+00 1.995000000000e+00 1.408733500000e+01 7.530000000000e+00 6.986592108291e+00 2.855469403506e-01
1.283919597990e+00 2.160000000000e+00 1.634831000000e+01 8.660000000000e+00 8.865476715186e+00 2.436417205067e-01
1.381909547739e+00 2.300000000000e+00 1.815959000000e+01 9.565000000000e+00 1.105420365764e+01 2.080656437346e-01
1.479899497487e+00 2.525000000000e+00 2.100178500000e+01 1.098500000000e+01 1.357642039374e+01 1.859842231436e-01
1.577889447236e+00 2.930000000000e+00 2.580611000000e+01 1.339000000000e+01 1.645577438159e+01 1.780530002452e-01
1.675879396985e+00 3.020000000000e+00 2.624686000000e+01 1.364000000000e+01 1.971591307928e+01 1.531757615210e-01
1.773869346734e+00 3.240000000000e+00 2.646862000000e+01 1.386000000000e+01 2.338048394491e+01 1.385771144701e-01
1.871859296482e+00 3.480000000000e+00 2.770165000000e+01 1.457000000000e+01 2.747313443657e+01 1.266692014351e-01
1.969849246231e+00 3.565000000000e+00 2.835226500000e+01 1.491500000000e+01 3.201751201236e+01 1.113453162327e-01
2.067839195980e+00 3.880000000000e+00 3.018993500000e+01 1.592500000000e+01 3.703726413037e+01 1.047593576659e-01
2.165829145729e+00 4.695000000000e+00 3.566238500000e+01 1.886000000000e+01 4.255603824870e+01 1.103251193770e-01
2.263819095477e+00 5.415000000000e+00 4.066873500000e+01 2.153500000000e+01 4.859748182545e+01 1.114255265211e-01
2.361809045226e+00 5.935000000000e+00 4.510365500000e+01 2.387000000000e+01 5.518524231870e+01 1.075468685219e-01
2.459798994975e+00 6.770000000000e+00 5.232008000000e+01 2.763500000000e+01 6.234296718656e+01 1.085928422326e-01
2.557788944724e+00 7.825000000000e+00 5.998967500000e+01 3.172000000000e+01 7.009430388712e+01 1.116353193635e-01
2.655778894472e+00 8.750000000000e+00 6.610732000000e+01 3.502000000000e+01 7.846289987848e+01 1.115176728562e-01
2.753768844221e+00 9.645000000000e+00 7.188383500000e+01 3.816000000000e+01 8.747240261872e+01 1.102633483390e-01
2.851758793970e+00 1.042000000000e+01 7.655480500000e+01 4.073000000000e+01 9.714645956595e+01 1.072607282505e-01
2.949748743719e+00 1.129000000000e+01 8.295768000000e+01 4.414500000000e+01 1.075087181783e+02 1.050147391887e-01
3.047738693467e+00 1.236500000000e+01 8.974645500000e+01 4.785000000000e+01 1.185828259137e+02 1.042731095732e-01
3.145728643216e+00 1.354000000000e+01 9.682476000000e+01 5.174500000000e+01 1.303924302305e+02 1.038403838019e-01
3.243718592965e+00 1.462500000000e+01 1.046127450000e+02 5.591000000000e+01 1.429611785866e+02 1.023004996502e-01
3.341708542714e+00 1.566500000000e+01 1.121560600000e+02 5.994500000000e+01 1.563127184402e+02 1.002157735872e-01
3.439698492462e+00 1.675000000000e+01 1.206194000000e+02 6.441500000000e+01 1.704706972494e+02 9.825735607509e-02
3.537688442211e+00 1.793500000000e+01 1.291591650000e+02 6.899000000000e+01 1.854587624722e+02 9.670613434991e-02
3.635678391960e+00 1.928000000000e+01 1.401867050000e+02 7.478500000000e+01 2.013005615667e+02 9.577717940748e-02
3.733668341709e+00 2.057000000000e+01 1.497724800000e+02 7.988500000000e+01 2.180197419911e+02 9.434925393518e-02
3.831658291457e+00 2.193000000000e+01 1.606736000000e+02 8.563000000000e+01 2.356399512034e+02 9.306571270280e-02
3.929648241206e+00 2.356500000000e+01 1.728679550000e+02 9.211500000000e+01 2.541848366618e+02 9.270812653296e-02
4.027638190955e+00 2.529500000000e+01 1.859777100000e+02 9.907000000000e+01 2.736780458243e+02 9.242612034815e-02
4.125628140704e+00 2.701000000000e+01 1.976074600000e+02 1.053350000000e+02 2.941432261490e+02 9.182601399197e-02
4.223618090452e+00 2.900500000000e+01 2.114130950000e+02 1.127450000000e+02 3.156040250940e+02 9.190313713952e-02
4.321608040201e+00 3.099000000000e+01 2.253693100000e+02 1.202250000000e+02 3.380840901175e+02 9.166358579380e-02
4.419597989950e+00 3.310500000000e+01 2.398371550000e+02 1.280000000000e+02 3.616070686774e+02 9.154964841003e-02
