#                r          N_{at}(r)               M(r)          N_{el}(r)          Volume(r)     Density{at}(r)
5.000000000000e-01 1.000000000000e+00 7.592665000000e+00 4.025000000000e+00 5.235987755983e-01 1.909859317103e+00
5.979899497487e-01 1.000000000000e+00 7.592665000000e+00 4.025000000000e+00 8.957158602674e-01 1.116425469681e+00
6.959798994975e-01 1.000000000000e+00 7.592665000000e+00 4.025000000000e+00 1.412143073826e+00 7.081435433386e-01
7.939698492462e-01 1.000000000000e+00 7.592665000000e+00 4.025000000000e+00 2.096527874369e+00 4.769791101877e-01
8.919597989950e-01 1.000000000000e+00 7.592665000000e+00 4.025000000000e+00 2.972517719991e+00 3.364151518003e-01
9.899497487437e-01 1.020000000000e+00 7.837690000000e+00 4.150000000000e+00 4.063760068789e+00 2.509990704997e-01
1.087939698492e+00 1.500000000000e+00 1.109685500000e+01 5.900000000000e+00 5.393902378857e+00 2.780917960028e-01
1.185929648241e+00 1.930000000000e+00 1.397089500000e+01 7.440000000000e+00 6.986592108291e+00 2.762434059532e-01
1.283919597990e+00 2.145000000000e+00 1.688228000000e+01 8.895000000000e+00 8.865476715186e+00 2.419497641143e-01
1.381909547739e+00 2.315000000000e+00 1.908383000000e+01 9.995000000000e+00 1.105420365764e+01 2.094225935851e-01
1.479899497487e+00 2.520000000000e+00 2.165584500000e+01 1.128000000000e+01 1.357642039374e+01 1.856159375532e-01
1.577889447236e+00 2.910000000000e+00 2.644991500000e+01 1.367500000000e+01 1.645577438159e+01 1.768376214039e-01
1.675879396985e+00 3.040000000000e+00 2.746119500000e+01 1.420500000000e+01 1.971591307928e+01 1.541901705377e-01
1.773869346734e+00 3.280000000000e+00 2.777807000000e+01 1.448000000000e+01 2.338048394491e+01 1.402879430438e-01
1.871859296482e+00 3.430000000000e+00 2.821452500000e+01 1.476500000000e+01 2.747313443657e+01 1.248492416444e-01
1.969849246231e+00 3.530000000000e+00 2.881526500000e+01 1.509500000000e+01 3.201751201236e+01 1.102521644604e-01
2.067839195980e+00 3.890000000000e+00 3.147335000000e+01 1.650500000000e+01 3.703726413037e+01 1.050293560104e-01
