#         r          N_{at}(r)               M(r)          N_{el}(r)     Rg(r)
5.000000000000e-01 1.000000000000e+00 7.172214000000e+00 3.832000000000e+00 0.000000000000e+00
5.093674906369e-01 1.000000000000e+00 7.172214000000e+00 3.832000000000e+00 0.000000000000e+00
5.189104810355e-01 1.000000000000e+00 7.172214000000e+00 3.832000000000e+00 0.000000000000e+00
5.286322591805e-01 1.000000000000e+00 7.172214000000e+00 3.832000000000e+00 0.000000000000e+00
5.385361746571e-01 1.000000000000e+00 7.172214000000e+00 3.832000000000e+00 0.000000000000e+00
5.486256398046e-01 1.000000000000e+00 7.172214000000e+00 3.832000000000e+00 0.000000000000e+00
5.589041308927e-01 1.000000000000e+00 7.172214000000e+00 3.832000000000e+00 0.000000000000e+00
5.693751893188e-01 1.000000000000e+00 7.172214000000e+00 3.832000000000e+00 0.000000000000e+00
5.800424228285e-01 1.000000000000e+00 7.172214000000e+00 3.832000000000e+00 0.000000000000e+00
5.909095067582e-01 1.000000000000e+00 7.172214000000e+00 3.832000000000e+00 0.000000000000e+00
6.019801853019e-01 1.000000000000e+00 7.172214000000e+00 3.832000000000e+00 0.000000000000e+00
6.132582728008e-01 1.000000000000e+00 7.172214000000e+00 3.832000000000e+00 0.000000000000e+00
6.247476550577e-01 1.000000000000e+00 7.172214000000e+00 3.832000000000e+00 0.000000000000e+00
6.364522906761e-01 1.000000000000e+00 7.172214000000e+00 3.832000000000e+00 0.000000000000e+00
6.483762124237e-01 1.000000000000e+00 7.172214000000e+00 3.832000000000e+00 0.000000000000e+00
6.605235286218e-01 1.000000000000e+00 7.172214000000e+00 3.832000000000e+00 0.000000000000e+00
6.728984245615e-01 1.000000000000e+00 7.172214000000e+00 3.832000000000e+00 0.000000000000e+00
6.855051639449e-01 1.000000000000e+00 7.172214000000e+00 3.832000000000e+00 0.000000000000e+00
6.983480903545e-01 1.000000000000e+00 7.172214000000e+00 3.832000000000e+00 0.000000000000e+00
7.114316287500e-01 1.000000000000e+00 7.172214000000e+00 3.832000000000e+00 0.000000000000e+00
7.247602869922e-01 1.000000000000e+00 7.172214000000e+00 3.832000000000e+00 0.000000000000e+00
7.383386573971e-01 1.000000000000e+00 7.172214000000e+00 3.832000000000e+00 0.000000000000e+00
7.521714183172e-01 1.000000000000e+00 7.172214000000e+00 3.832000000000e+00 0.000000000000e+00
7.662633357541e-01 1.000000000000e+00 7.172214000000e+00 3.832000000000e+00 0.000000000000e+00
7.806192650003e-01 1.000000000000e+00 7.172214000000e+00 3.832000000000e+00 0.000000000000e+00
7.952441523121e-01 1.000000000000e+00 7.172214000000e+00 3.832000000000e+00 0.000000000000e+00
8.101430366138e-01 1.000000000000e+00 7.172214000000e+00 3.832000000000e+00 0.000000000000e+00
8.253210512339e-01 1.000000000000e+00 7.172214000000e+00 3.832000000000e+00 0.000000000000e+00
8.407834256737e-01 1.000000000000e+00 7.172214000000e+00 3.832000000000e+00 0.000000000000e+00
8.565354874091e-01 1.000000000000e+00 7.172214000000e+00 3.832000000000e+00 0.000000000000e+00
8.725826637261e-01 1.000000000000e+00 7.172214000000e+00 3.832000000000e+00 0.000000000000e+00
8.889304835909e-01 1.000000000000e+00 7.172214000000e+00 3.832000000000e+00 0.000000000000e+00
9.055845795547e-01 1.000000000000e+00 7.172214000000e+00 3.832000000000e+00 0.000000000000e+00
9.225506896946e-01 1.000000000000e+00 7.172214000000e+00 3.832000000000e+00 0.000000000000e+00
9.398346595902e-01 1.000000000000e+00 7.172214000000e+00 3.832000000000e+00 0.000000000000e+00
9.574424443382e-01 1.039000000000e+00 7.451382000000e+00 3.983000000000e+00 2.465766198811e-02
9.753801106036e-01 1.039000000000e+00 7.451382000000e+00 3.983000000000e+00 2.465766198811e-02
9.936538387107e-01 1.039000000000e+00 7.451382000000e+00 3.983000000000e+00 2.465766198811e-02
1.012269924772e+00 1.135000000000e+00 8.198100000000e+00 4.379000000000e+00 9.308778057379e-02
1.031234782856e+00 1.170000000000e+00 8.480361000000e+00 4.528000000000e+00 1.179409018253e-01
1.050554947202e+00 1.170000000000e+00 8.480361000000e+00 4.528000000000e+00 1.179409018253e-01
1.070237074465e+00 1.170000000000e+00 8.480361000000e+00 4.528000000000e+00 1.179409018253e-01
1.090287946014e+00 1.636000000000e+00 1.162381800000e+01 6.209000000000e+00 4.739115572503e-01
1.110714470266e+00 1.966000000000e+00 1.383797100000e+01 7.394000000000e+00 6.732489292598e-01
1.131523685067e+00 1.966000000000e+00 1.383797100000e+01 7.394000000000e+00 6.732489292598e-01
1.152722760117e+00 1.966000000000e+00 1.383797100000e+01 7.394000000000e+00 6.732489292598e-01
1.174318999442e+00 1.966000000000e+00 1.383797100000e+01 7.394000000000e+00 6.732489292598e-01
1.196319843906e+00 1.974000000000e+00 1.395001100000e+01 7.450000000000e+00 6.812015470957e-01
1.218732873779e+00 2.003000000000e+00 1.435815000000e+01 7.654000000000e+00 7.109522163860e-01
1.241565811347e+00 2.072000000000e+00 1.533446500000e+01 8.142000000000e+00 7.813014957395e-01
1.264826523573e+00 2.115000000000e+00 1.593867400000e+01 8.444000000000e+00 8.281614868146e-01
1.288523024807e+00 2.143000000000e+00 1.632085000000e+01 8.635000000000e+00 8.576894325181e-01
1.312663479548e+00 2.173000000000e+00 1.671112000000e+01 8.830000000000e+00 8.683430894549e-01
1.337256205256e+00 2.225000000000e+00 1.740963000000e+01 9.179000000000e+00 8.884114267381e-01
1.362309675220e+00 2.268000000000e+00 1.797201100000e+01 9.460000000000e+00 9.069784136971e-01
1.387832521474e+00 2.308000000000e+00 1.849237100000e+01 9.720000000000e+00 9.239389396722e-01
1.413833537775e+00 2.360000000000e+00 1.913888300000e+01 1.004300000000e+01 9.559390975295e-01
1.440321682630e+00 2.425000000000e+00 1.997545400000e+01 1.046100000000e+01 9.790868286921e-01
1.467306082382e+00 2.483000000000e+00 2.073596400000e+01 1.084100000000e+01 1.004228104541e+00
1.494796034359e+00 2.563000000000e+00 2.174674400000e+01 1.134600000000e+01 1.036426780259e+00
1.522801010071e+00 2.687000000000e+00 2.325606800000e+01 1.210000000000e+01 1.078820830420e+00
1.551330658478e+00 2.859000000000e+00 2.531694100000e+01 1.313000000000e+01 1.128765048528e+00
1.580394809314e+00 2.957000000000e+00 2.649401900000e+01 1.371800000000e+01 1.155704937886e+00
1.610003476472e+00 2.978000000000e+00 2.674625000000e+01 1.384400000000e+01 1.161365468504e+00
1.640166861455e+00 2.998000000000e+00 2.681042200000e+01 1.388400000000e+01 1.175488508905e+00
1.670895356890e+00 3.050000000000e+00 2.686283800000e+01 1.393600000000e+01 1.221863458359e+00
1.702199550112e+00 3.114000000000e+00 2.692735000000e+01 1.400000000000e+01 1.280846715405e+00
1.734090226808e+00 3.201000000000e+00 2.701504600000e+01 1.408700000000e+01 1.361623941125e+00
1.766578374734e+00 3.277000000000e+00 2.709165400000e+01 1.416300000000e+01 1.419294067798e+00
1.799675187504e+00 3.377000000000e+00 2.737257400000e+01 1.434700000000e+01 1.498355629038e+00
1.833392068440e+00 3.442000000000e+00 2.760525900000e+01 1.449100000000e+01 1.538390885454e+00
1.867740634510e+00 3.473000000000e+00 2.785984600000e+01 1.462900000000e+01 1.560614630977e+00
1.902732720322e+00 3.502000000000e+00 2.801904800000e+01 1.471800000000e+01 1.584462359082e+00
1.938380382207e+00 3.530000000000e+00 2.813625700000e+01 1.478700000000e+01 1.613199719214e+00
1.974695902369e+00 3.591000000000e+00 2.842778100000e+01 1.495300000000e+01 1.668025353884e+00
2.011691793122e+00 3.673000000000e+00 2.891548600000e+01 1.522000000000e+01 1.752091139018e+00
2.049380801194e+00 3.825000000000e+00 2.994566700000e+01 1.577500000000e+01 1.893581725024e+00
2.087775912128e+00 4.016000000000e+00 3.124335200000e+01 1.647100000000e+01 2.055892330365e+00
2.126890354746e+00 4.333000000000e+00 3.332923600000e+01 1.759300000000e+01 2.298547591070e+00
2.166737605713e+00 4.773000000000e+00 3.596827900000e+01 1.903200000000e+01 2.572739667099e+00
2.207331394182e+00 5.173000000000e+00 3.880275800000e+01 2.054300000000e+01 2.804111683788e+00
2.248685706517e+00 5.479000000000e+00 4.108430500000e+01 2.175300000000e+01 2.978167395792e+00
2.290814791119e+00 5.707000000000e+00 4.268294600000e+01 2.261200000000e+01 3.112162244187e+00
2.333733163333e+00 5.878000000000e+00 4.363268100000e+01 2.314700000000e+01 3.198405753404e+00
2.377455610446e+00 6.146000000000e+00 4.572412000000e+01 2.425900000000e+01 3.324524360553e+00
2.421997196787e+00 6.548000000000e+00 4.915977400000e+01 2.606100000000e+01 3.519037952335e+00
2.467373268914e+00 7.050000000000e+00 5.357210200000e+01 2.835900000000e+01 3.727431916211e+00
2.513599460903e+00 7.553000000000e+00 5.792385400000e+01 3.062800000000e+01 3.936348572212e+00
2.560691699733e+00 8.160000000000e+00 6.204694500000e+01 3.284200000000e+01 4.170423793046e+00
2.608666210776e+00 8.660000000000e+00 6.551191800000e+01 3.470200000000e+01 4.347717230008e+00
2.657539523384e+00 9.127000000000e+00 6.855161100000e+01 3.634800000000e+01 4.512598990583e+00
2.707328476590e+00 9.584000000000e+00 7.128831300000e+01 3.785300000000e+01 4.671415365953e+00
2.758050224901e+00 1.001100000000e+01 7.410471300000e+01 3.937500000000e+01 4.823255564349e+00
2.809722244217e+00 1.050000000000e+01 7.734851000000e+01 4.112900000000e+01 4.987850535390e+00
2.862362337847e+00 1.108600000000e+01 8.146631100000e+01 4.334100000000e+01 5.183114550170e+00
2.915988642645e+00 1.157800000000e+01 8.528945200000e+01 4.536900000000e+01 5.354192228758e+00
2.970619635260e+00 1.207100000000e+01 8.833334300000e+01 4.703600000000e+01 5.514165303768e+00
3.026274138498e+00 1.266100000000e+01 9.181421300000e+01 4.895400000000e+01 5.711592236082e+00
3.082971327813e+00 1.325800000000e+01 9.492471000000e+01 5.070600000000e+01 5.909735910694e+00
3.140730737907e+00 1.387800000000e+01 9.874006300000e+01 5.279800000000e+01 6.112164540245e+00
3.199572269468e+00 1.449100000000e+01 1.036107160000e+02 5.536800000000e+01 6.318886251326e+00
3.259516196021e+00 1.511600000000e+01 1.080827160000e+02 5.776300000000e+01 6.527102502119e+00
3.320583170915e+00 1.570700000000e+01 1.127836710000e+02 6.024500000000e+01 6.728713349245e+00
3.382794234441e+00 1.645800000000e+01 1.186049650000e+02 6.333100000000e+01 6.987391880159e+00
3.446170821076e+00 1.724300000000e+01 1.243483290000e+02 6.639100000000e+01 7.267574941815e+00
3.510734766876e+00 1.805500000000e+01 1.300781720000e+02 6.946400000000e+01 7.554628801162e+00
3.576508316991e+00 1.882600000000e+01 1.357529130000e+02 7.249200000000e+01 7.818222462935e+00
3.643514133335e+00 1.970600000000e+01 1.426079150000e+02 7.611800000000e+01 8.114630598775e+00
3.711775302394e+00 2.061900000000e+01 1.495102510000e+02 7.978300000000e+01 8.416179247304e+00
3.781315343178e+00 2.163900000000e+01 1.571638480000e+02 8.385300000000e+01 8.759453493936e+00
3.852158215323e+00 2.273300000000e+01 1.651629640000e+02 8.811600000000e+01 9.123718704566e+00
3.924328327351e+00 2.390300000000e+01 1.737577770000e+02 9.269000000000e+01 9.509946593178e+00
3.997850545076e+00 2.514000000000e+01 1.823858920000e+02 9.731900000000e+01 9.898542208018e+00
4.072750200174e+00 2.631600000000e+01 1.907107730000e+02 1.017790000000e+02 1.027009263546e+01
4.149053098907e+00 2.763300000000e+01 2.001094740000e+02 1.068070000000e+02 1.067031922254e+01
4.226785531019e+00 2.920300000000e+01 2.118298780000e+02 1.130370000000e+02 1.113920660150e+01
4.305974278792e+00 3.085900000000e+01 2.231355050000e+02 1.191290000000e+02 1.162844022040e+01
4.386646626271e+00 3.261300000000e+01 2.358366120000e+02 1.259140000000e+02 1.212529916627e+01
4.468830368669e+00 3.437700000000e+01 2.478499450000e+02 1.323810000000e+02 1.261186581454e+01
4.552553821942e+00 3.633000000000e+01 2.619992360000e+02 1.399290000000e+02 1.314732366522e+01
4.637845832544e+00 3.855300000000e+01 2.785400470000e+02 1.487150000000e+02 1.372780500231e+01
4.724735787368e+00 4.094300000000e+01 2.961501330000e+02 1.580900000000e+02 1.434028594137e+01
4.813253623868e+00 4.337600000000e+01 3.129635390000e+02 1.671100000000e+02 1.493531215180e+01
4.903429840378e+00 4.607700000000e+01 3.336397120000e+02 1.780580000000e+02 1.557697034804e+01
4.995295506615e+00 4.890200000000e+01 3.540630910000e+02 1.889450000000e+02 1.622023857748e+01
5.088882274389e+00 5.170300000000e+01 3.751263310000e+02 2.001270000000e+02 1.685287816860e+01
5.184222388505e+00 5.465800000000e+01 3.970218000000e+02 2.117790000000e+02 1.749703980167e+01
5.281348697873e+00 5.774600000000e+01 4.192733690000e+02 2.236590000000e+02 1.815333457132e+01
5.380294666828e+00 6.093000000000e+01 4.422665510000e+02 2.359270000000e+02 1.882608878476e+01
5.481094386659e+00 6.428800000000e+01 4.660070710000e+02 2.486250000000e+02 1.952930439168e+01
5.583782587353e+00 6.783500000000e+01 4.910145270000e+02 2.620050000000e+02 2.025751227855e+01
5.688394649565e+00 7.175500000000e+01 5.201106620000e+02 2.774690000000e+02 2.104959111894e+01
5.794966616803e+00 7.580300000000e+01 5.505797130000e+02 2.936340000000e+02 2.184872736360e+01
5.903535207851e+00 8.051600000000e+01 5.845792390000e+02 3.117770000000e+02 2.276063317785e+01
6.014137829420e+00 8.508900000000e+01 6.176827320000e+02 3.294380000000e+02 2.362107696756e+01
6.126812589032e+00 8.983500000000e+01 6.516542850000e+02 3.475880000000e+02 2.450026548963e+01
6.241598308156e+00 9.488800000000e+01 6.887687600000e+02 3.673640000000e+02 2.541734703597e+01
6.358534535579e+00 1.001930000000e+02 7.270116970000e+02 3.877800000000e+02 2.637066580485e+01
6.477661561032e+00 1.059150000000e+02 7.673564300000e+02 4.093690000000e+02 2.737600165131e+01
6.599020429076e+00 1.118500000000e+02 8.094624910000e+02 4.318860000000e+02 2.839898917463e+01
6.722652953241e+00 1.183310000000e+02 8.553595680000e+02 4.564450000000e+02 2.949227410731e+01
6.848601730431e+00 1.251890000000e+02 9.042202510000e+02 4.825620000000e+02 3.063117959358e+01
6.976910155602e+00 1.321420000000e+02 9.538575200000e+02 5.090950000000e+02 3.176786009700e+01
7.107622436717e+00 1.394430000000e+02 1.006171345000e+03 5.370450000000e+02 3.293873442108e+01
7.240783609971e+00 1.471580000000e+02 1.062696773000e+03 5.671410000000e+02 3.415908895011e+01
7.376439555312e+00 1.552710000000e+02 1.119298782000e+03 5.974890000000e+02 3.542216651649e+01
7.514637012248e+00 1.638060000000e+02 1.180929839000e+03 6.303850000000e+02 3.673311105959e+01
7.655423595953e+00 1.727520000000e+02 1.243825865000e+03 6.640890000000e+02 3.809145991691e+01
7.798847813666e+00 1.819930000000e+02 1.308338311000e+03 6.986640000000e+02 3.947420602811e+01
7.944959081413e+00 1.920300000000e+02 1.380109723000e+03 7.370270000000e+02 4.095753433719e+01
8.093807741025e+00 2.026220000000e+02 1.453997289000e+03 7.766650000000e+02 4.249518428602e+01
8.245445077487e+00 2.134240000000e+02 1.530678147000e+03 8.176950000000e+02 4.404496410228e+01
8.399923336609e+00 2.254090000000e+02 1.613519615000e+03 8.621770000000e+02 4.573786303712e+01
8.557295743022e+00 2.378110000000e+02 1.701486821000e+03 9.092430000000e+02 4.745762364987e+01
8.717616518522e+00 2.508430000000e+02 1.793252698000e+03 9.583760000000e+02 4.923224212386e+01
8.880940900750e+00 2.649540000000e+02 1.892748618000e+03 1.011653000000e+03 5.112347850557e+01
9.047325162219e+00 2.796120000000e+02 1.996967523000e+03 1.067389000000e+03 5.305590579674e+01
9.216826629712e+00 2.948250000000e+02 2.106424206000e+03 1.125845000000e+03 5.502920345432e+01
9.389503704024e+00 3.117350000000e+02 2.227046451000e+03 1.190307000000e+03 5.718761803531e+01
9.565415880090e+00 3.288130000000e+02 2.348407751000e+03 1.255186000000e+03 5.932705344040e+01
9.744623767480e+00 3.470290000000e+02 2.477611152000e+03 1.324297000000e+03 6.157102706704e+01
9.927189111285e+00 3.666130000000e+02 2.617829646000e+03 1.399195000000e+03 6.393946805249e+01
1.011317481339e+01 3.870580000000e+02 2.762468062000e+03 1.476577000000e+03 6.636487754725e+01
1.030264495414e+01 4.085770000000e+02 2.916661094000e+03 1.558930000000e+03 6.888101120746e+01
1.049566481442e+01 4.312620000000e+02 3.080749175000e+03 1.646490000000e+03 7.148017606913e+01
1.069230089818e+01 4.555950000000e+02 3.255852932000e+03 1.739953000000e+03 7.422020392219e+01
1.089262095528e+01 4.812060000000e+02 3.440625863000e+03 1.838523000000e+03 7.705938328769e+01
1.109669400490e+01 5.079270000000e+02 3.632601498000e+03 1.941020000000e+03 7.996448558757e+01
1.130459035928e+01 5.365270000000e+02 3.840658023000e+03 2.051904000000e+03 8.301793903978e+01
1.151638164797e+01 5.662150000000e+02 4.051038095000e+03 2.164424000000e+03 8.613691152134e+01
1.173214084249e+01 5.972460000000e+02 4.274016229000e+03 2.283476000000e+03 8.935072588761e+01
1.195194228148e+01 6.304740000000e+02 4.512247897000e+03 2.410714000000e+03 9.273014148464e+01
1.217586169631e+01 6.653660000000e+02 4.763255953000e+03 2.544722000000e+03 9.621995810564e+01
1.240397623718e+01 7.013240000000e+02 5.020088813000e+03 2.681979000000e+03 9.976466851708e+01
1.263636449970e+01 7.391380000000e+02 5.288440802000e+03 2.825520000000e+03 1.034425536974e+02
1.287310655198e+01 7.796190000000e+02 5.578727708000e+03 2.980560000000e+03 1.073232021304e+02
1.311428396216e+01 8.220950000000e+02 5.880629598000e+03 3.142037000000e+03 1.113274191623e+02
1.335997982662e+01 8.665900000000e+02 6.199654768000e+03 3.312426000000e+03 1.154690297417e+02
1.361027879849e+01 9.137000000000e+02 6.539297736000e+03 3.493699000000e+03 1.197846776431e+02
1.386526711691e+01 9.628120000000e+02 6.894950672000e+03 3.683408000000e+03 1.242223112387e+02
1.412503263670e+01 1.014299000000e+03 7.262767124000e+03 3.879924000000e+03 1.288101573151e+02
